Name,Team,Sport,Gold,Silver,Bronze,Image
Stine Brun Kjeldaas,Norway,Snowboarding,0,1,0,
Stine Lise Hattestad (-Bratsberg),Norway,Freestyle Skiing,1,0,1,
Stjepan Bobek,Yugoslavia,Football,0,2,0,
Stjepan Deveri,Yugoslavia,Football,0,0,1,
Stle Sandbech,Norway,Snowboarding,0,1,0,
"Stojan ""Stojko"" Vrankovi",Yugoslavia,Basketball,0,1,0,
"Stojan ""Stojko"" Vrankovi",Croatia,Basketball,0,1,0,
Stojna Vangelovska,Yugoslavia,Basketball,0,1,0,
Storm Uru,New Zealand,Rowing,0,0,1,
Stoyan Delchev,Bulgaria,Gymnastics,1,0,1,
Stoyan Dimitrov Balov,Bulgaria,Wrestling,0,1,0,
Stoyan Gunchev,Bulgaria,Volleyball,0,1,0,
Stoyan Ivanov Apostolov,Bulgaria,Wrestling,0,1,0,
Stoyan Ivanov Yordanov,Bulgaria,Football,0,1,0,
Stoyan Nikolov Ivanov,Bulgaria,Wrestling,0,1,0,
Stoyanka Gruycheva-Kurbatova,Bulgaria,Rowing,1,0,1,
Stphan Malcolm Caron,France,Swimming,0,0,2,
Stphane Andr Michel Traineau,France,Judo,0,0,2,
Stphane Camille Andr Stoecklin,France,Handball,0,0,1,
Stphane Lambiel,Switzerland,Figure Skating,0,1,0,
Stphane Risacher,France,Basketball,0,1,0,
Stphanie Fabienne Possamai,France,Judo,0,0,1,
Stuart Alexander MacKenzie,Australia,Rowing,0,1,0,
Stuart Bithell,Great Britain,Sailing,0,1,0,
Stuart Brian Tinney,Australia,Equestrianism,1,0,1,
Stuart Cameron Carruthers,Australia,Hockey,0,0,1,
"Stuart Grosvenor ""Stu"" Stickney",Trans-Mississippi Golf Association-2,Golf,0,1,0,
"Stuart Lane ""Stu"" Griffing",United States,Rowing,0,0,1,
Stuart Peter O'Grady,Australia,Cycling,1,1,2,
Stuart Ralston Laidlaw,Winnipeg Shamrocks-1,Lacrosse,1,0,0,
Stuart Reside,Australia,Rowing,0,0,1,
Stuart Welch,Australia,Rowing,0,1,1,
Sture Helge Vilhelm Pettersson (-Fglum),Sweden,Cycling,0,1,1,
Sture Henrik Ericsson (-Ewrus),Sweden,Gymnastics,1,0,0,
Sture Henrik Stork,Rush VII,Sailing,0,1,0,
Sture Henrik Stork,Rush V,Sailing,1,0,0,
Sture Sivertsen,Norway,Cross Country Skiing,1,1,1,
Sturla sgeirsson,Iceland,Handball,0,1,0,
"Stylianos ""Stelios"" Mygiakis",Greece,Wrestling,1,0,0,
Su Huijuan,China,Volleyball,0,0,1,
Sueo Oe,Japan,Athletics,0,0,1,
Suguru Awaji,Japan,Fencing,0,1,0,
Sui Jianshuang,China,Rhythmic Gymnastics,0,1,0,
Sui Lu,China,Gymnastics,0,1,0,
Sui Xinmei,China,Athletics,0,1,0,
Sujaku Suzuki,Japan,Art Competitions,0,0,1,
Sukanya Srisurat,Thailand,Weightlifting,1,0,0,
Suleiman Nyambui,Tanzania,Athletics,0,1,0,
Sulo Artur Salmi,Finland,Gymnastics,1,0,0,
Sulo Arvi Pohjanp (Nordqvist-),Finland,Gymnastics,0,0,1,
Sulo Nurmela,Finland,Cross Country Skiing,1,0,0,
Sulo Richard Brlund,Finland,Athletics,0,1,0,
Sultan-Akhmed Magomedsalikhovich Ibragimov,Russia,Boxing,0,1,0,
"Sultanbai Saburovych ""Sultan"" Rakhmanov",Soviet Union,Weightlifting,1,0,0,
Sumie Oinuma,Japan,Volleyball,0,2,0,
Sumika Minamoto,Japan,Swimming,0,0,1,
Sumio Endo,Japan,Judo,0,0,1,
"Summer Elisabeth Sanders (-Henderson, -Schlopy)",United States,Swimming,2,1,1,
Sumner Paine,United States,Shooting,1,1,0,
"Sumner Wheeler White, III",Complex II,Sailing,1,0,0,
Sun Dan,China,Rhythmic Gymnastics,0,1,0,
Sun Dandan,China,Short Track Speed Skating,0,2,0,
Sun Fuming,China,Judo,1,0,1,
Sun Jin,China-2,Table Tennis,0,1,0,
Sun Linlin,China,Short Track Speed Skating,1,0,0,
Sun Man,China-2,Badminton,0,0,1,
Sun Qingmei,China,Football,0,1,0,
Sun Qiuting,China,Synchronized Swimming,0,0,1,
Sun Shuwei,China,Diving,1,0,0,
Sun Tiantian,China-1,Tennis,1,0,0,
Sun Wen,China,Football,0,1,0,
Sun Wenyan,China,Synchronized Swimming,0,3,0,
Sun Xiulan,China,Handball,0,0,1,
Sun Yanan,China,Wrestling,0,0,1,
Sun Yang,China,Swimming,3,2,1,
Sun Ye,China,Swimming,0,0,1,
Sun Yiwen,China,Fencing,0,1,1,
Sun Yue,China,Volleyball,0,1,0,
Sun Yujie,China,Fencing,1,1,1,
Sunday Bada,Nigeria,Athletics,1,0,0,
Sunday Ogorchukwu Oliseh,Nigeria,Football,1,0,0,
Sunday Uti,Nigeria,Athletics,0,0,1,
Sunder Lamont Nix,United States,Athletics,1,0,0,
Sune Isidor Andersson,Sweden,Football,1,0,0,
Sunette Stella Viljoen,South Africa,Athletics,0,1,0,
Sung Yu-Chi,Chinese Taipei,Taekwondo,0,0,1,
Suren Rubenovich Nalbandyan,Soviet Union,Wrestling,1,0,0,
Surinder Singh Sodhi Shokar,India,Hockey,1,0,0,
Suriya Prasathinphimai,Thailand,Boxing,0,0,1,
"Susan ""Sue"" Holloway (-Joy)",Canada,Canoeing,0,1,1,
"Susan ""Sue"" Huggett",Zimbabwe,Hockey,1,0,0,
"Susan ""Susie"" O'Neill",Australia,Swimming,2,4,2,
"Susan Ada ""Susie"" Corrock (-Zoberski, -Luby)",United States,Alpine Skiing,0,0,1,
"Susan Christina ""Chris"" von Saltza (-Olmstead)",United States,Swimming,3,1,0,
"Susan Christina ""Sue"" Hearnshaw (-Telfer)",Great Britain,Athletics,0,0,1,
"Susan Claire ""Sue"" Chapman (-Popa)",Australia,Rowing,0,0,1,
Susan Elizabeth Doerr,United States,Swimming,1,0,0,
Susan Elizabeth Roberts,South Africa,Swimming,0,0,1,
"Susan Estelle Sloan (-Smith, -Kelsey)",Canada,Swimming,0,0,1,
Susan Gerard Rapp (-von der Lippe),United States,Swimming,1,1,0,
"Susan Jacobien Unia ""Suzan"" van der Wielen (-Veen)",Netherlands,Hockey,0,0,2,
"Susan Jane ""Sue"" Pedersen (-Pankey)",United States,Swimming,2,2,0,
"Susan Jean ""Sue"" Woodstra",United States,Volleyball,0,1,0,
"Susan Kay ""Sue"" Pitt (-Anderson)",United States,Swimming,1,0,0,
Susan Lee (-Brosnan),Australia,Rowing,0,0,1,
Susan M. Blinks,United States,Equestrianism,0,0,1,
Susan Margaret Auch,Canada,Speed Skating,0,2,0,
"Susan Marie ""Sue"" Rojcewicz",United States,Basketball,0,1,0,
Susan Marie DeMattei (-Wiens),United States,Cycling,0,0,1,
Susan O'Connor,Canada,Curling,0,1,0,
Susan Rene Williams (Bartholomew-),United States,Triathlon,0,0,1,
Susann Goksr-Bjerkrheim,Norway,Handball,0,1,1,
"Susanna Barbara ""Sue"" Fraser",Great Britain,Hockey,0,0,1,
"Susannah ""Susie"" Scanlan",United States,Fencing,0,0,1,
Susannah Townsend,Great Britain,Hockey,1,0,0,
"Susanne ""Sue"" Gossick",United States,Diving,1,0,0,
"Susanne E. ""Susan"" Laird (-Scavey)",United States,Swimming,1,0,0,
"Susanne Jean ""Susie"" Atwood",United States,Swimming,1,1,1,
"Susanne Jean ""Suzy"" Jones (-Roy)",United States,Swimming,1,0,0,
Susanne Kiermayer,Germany,Shooting,0,1,0,
"Susanne Leonie ""Susi"" Schmid (-Brundert)",West Germany,Hockey,0,1,0,
"Susanne Marie ""Susan"" Shields (-White)",United States,Swimming,1,0,1,
Susanne Mller (-Bellenbaum),Germany,Hockey,0,1,0,
Susanne Munk Lauritsen (-Wilbek),Denmark,Handball,1,0,0,
"Susanne Schultz Nielsson (-Feldsgaard, -Hansen)",Denmark,Swimming,0,0,1,
Susanne Schuster (-Boerhoff),West Germany,Swimming,0,0,1,
Susanne Wollschlger (-Maertens),Germany,Hockey,0,1,0,
Sushil Kumar Solanki,India,Wrestling,0,1,1,
Susi-Lisa Erdmann (-Plankensteiner),Germany,Luge,0,1,1,
Susi-Lisa Erdmann (-Plankensteiner),Germany-2,Bobsleigh,0,0,1,
Suzana Lazovi,Montenegro,Handball,0,1,0,
"Suzannah ""Suzie"" Fraser",Australia,Water Polo,0,0,1,
Suzannah Bianco,United States,Synchronized Swimming,1,0,0,
"Suzanne ""Sue"" Merz",United States,Ice Hockey,1,1,0,
"Suzanne ""Suzi"" Morrow (-Francis)",Canada,Figure Skating,0,0,1,
Suzanne Barbara Plesman,Netherlands,Hockey,0,0,1,
"Suzanne Brigit ""Sue"" Bird",United States,Basketball,4,0,0,
"Suzanne Ciscele ""Suzie"" Landells (-Dill-Macky)",Australia,Swimming,0,1,0,
"Suzanne Elspeth ""Suzy"" Balogh",Australia,Shooting,1,0,0,
"Suzanne Helen ""Sue"" Fairhurst",Australia,Softball,0,0,1,
Suzanne Rachel Flore Lenglen,France,Tennis,1,0,1,
Suzanne Rachel Flore Lenglen,France-3,Tennis,1,0,0,
"Suzanne Theresa ""Suzie"" McConnell (-Serio)",United States,Basketball,1,0,1,
Suzanne Winona Zimmerman (-Edwards),United States,Swimming,0,1,0,
Suzue Takayama,Japan,Volleyball,0,1,0,
Suzy Batkovic (-Brown),Australia,Basketball,0,2,1,
Svante Erik Rasmuson,Sweden,Modern Pentathlon,0,1,1,
Svea Placida Mariana Norn (-Kllstrm),Sweden,Figure Skating,0,1,0,
Svein Thorleif Thgersen,Norway,Rowing,0,1,0,
Sven Albert Israel Israelsson,Sweden,Nordic Combined,0,0,1,
Sven Alfred Thofelt,Sweden,Fencing,0,1,1,
Sven Alfred Thofelt,Sweden,Modern Pentathlon,1,0,0,
Sven Anders Grderud,Sweden,Athletics,1,0,0,
Sven Anders Viktor Lundquist,Sweden,Shooting,0,0,1,
Sven Attila Schmid,Germany,Fencing,0,0,1,
Sven August Malm,Sweden,Athletics,0,0,1,
Sven August Wilhelm Colliander,Sweden,Equestrianism,0,0,1,
Sven Axel Arigo Rosn,Sweden,Gymnastics,2,0,0,
Sven Axel Richard Landberg,Sweden,Gymnastics,2,0,0,
Sven Bender,Germany,Football,0,1,0,
Sven Bernhard Lindqvist,Sweden,Football,0,0,1,
Sven Bertil Johansson,Sweden,Canoeing,1,0,0,
Sven Christer Majbck,Sweden,Cross Country Skiing,0,0,1,
Sven Emil Lundgren,Sweden,Athletics,0,0,1,
Sven Evert Gunnarsson,Sweden,Rowing,0,1,0,
Sven Fischer,Germany,Biathlon,4,2,2,
Sven Gunther Rothenberger,Netherlands,Equestrianism,0,1,1,
Sven Gustaf Alvar Hglund,Sweden,Cycling,0,0,1,
Sven Gustaf Saln,May Be,Sailing,0,0,1,
Sven Gustaf Thorell,Sweden,Sailing,1,0,0,
Sven Hannawald (Phler-),Germany,Ski Jumping,1,2,0,
Sven Harald Lckner,Sweden,Ice Hockey,0,0,1,
Sven Helge Hamrin,Sweden,Cycling,0,0,1,
Sven Ivan Eriksson (-Selnger),Sweden,Ski Jumping,0,1,0,
Sven Jimmie Ericsson,Sweden,Ice Hockey,0,1,0,
Sven Kramer,Netherlands,Speed Skating,3,2,2,
Sven Lodziewski,East Germany,Swimming,0,1,0,
Sven Loll,East Germany,Judo,0,1,0,
Sven Ludvig Utterstrm,Sweden,Cross Country Skiing,1,0,0,
Sven Martin Boquist,Sweden,Handball,0,1,0,
Sven Meinhardt,Germany,Hockey,1,0,0,
"Sven Olof ""Sven-Olof"" Jonsson",Sweden,Gymnastics,1,0,0,
Sven Olof Gunnar Johansson (-Tumba),Sweden,Ice Hockey,0,1,1,
Sven Olof Johnson,Sweden,Gymnastics,1,0,0,
Sven Otto Forssman,Sweden,Gymnastics,1,0,0,
Sven Otto Nilsson,Sweden,Athletics,0,0,1,
Sven Ragnar Thunman,Sweden,Ice Hockey,0,0,1,
Sven Richard Friberg,Sweden,Football,0,0,1,
Sven Riederer,Switzerland,Triathlon,0,0,1,
Sven Tippelt,East Germany,Gymnastics,0,1,2,
Sven Tomas Gustafson,Sweden,Speed Skating,3,1,0,
Sven Tommy Karls,Sweden,Canoeing,0,1,0,
Sven Torsten Fahlman,Sweden,Fencing,0,1,0,
Sven Vge Kenneth Johansson,Sweden,Shooting,0,0,1,
Sven William Lfqvist,Sweden,Ice Hockey,0,0,1,
Sven ke Albert Rydell,Sweden,Football,0,0,1,
Sven-Olov Isak Sjdelius,Sweden,Canoeing,2,0,0,
Sven-ke Lundbck,Sweden,Cross Country Skiing,1,0,0,
Svend Egil Benjamin Olsen,Denmark,Weightlifting,0,1,0,
Svend Meulengracht Madsen (Meulengracht-Madsen-),Denmark,Gymnastics,1,0,0,
Svend Ove Pedersen,Denmark,Rowing,0,0,1,
Svend Vad,Denmark,Boxing,0,0,1,
Svenja Anette Huth,Germany,Football,1,0,0,
Svenja Schlicht,West Germany,Swimming,0,1,0,
Svenn Bernth Thomsen,Nurdug II,Sailing,0,1,0,
Svensk Hjalmar Zakeus Andersson,Sweden,Athletics,1,1,0,
Sverine Anne-Marie Vandenhende,France,Judo,1,0,0,
Sverre Andreas Jakobsson,Iceland,Handball,0,1,0,
Sverre Bertrand Lken,Norway,Rowing,0,0,1,
Sverre Brodahl,Norway,Cross Country Skiing,0,1,0,
Sverre Brodahl,Norway,Nordic Combined,0,0,1,
Sverre Grner,Norway,Gymnastics,0,1,0,
Sverre Hansen,Norway,Football,0,0,1,
Sverre Hilmar Hansen,Norway,Athletics,0,0,1,
Sverre Ingolf Haugli,Norway,Speed Skating,0,0,1,
Sverre Melvin Farstad,Norway,Speed Skating,1,0,0,
Sverre Srsdal,Norway,Boxing,0,1,1,
Sverre Stenersen,Norway,Nordic Combined,1,0,1,
Svetla Khristova Otsetova,Bulgaria,Rowing,1,0,0,
Svetlana Aleksandrova Zaboluyeva-Antipova (-Belova),Unified Team,Basketball,1,0,0,
Svetlana Aleksandrovna Dyomina (Yakimova-),Russia,Shooting,0,1,0,
Svetlana Aleksandrovna Fedotkina,Russia,Speed Skating,0,1,0,
Svetlana Aleksandrovna Masterkova,Russia,Athletics,2,0,0,
Svetlana Alekseyevna Gladysheva,Russia,Alpine Skiing,0,1,0,
Svetlana Alekseyevna Romashina,Russia,Synchronized Swimming,5,0,0,
Svetlana Anastasovski-Obuina,Yugoslavia,Handball,1,1,0,
Svetlana Anatolyevna Boyko,Russia,Fencing,1,0,0,
Svetlana Anatolyevna Pryakhina,Unified Team,Handball,0,0,1,
Svetlana Anatolyevna Varganova,Soviet Union,Swimming,0,1,0,
Svetlana Dai-Kiti,Yugoslavia,Handball,1,1,0,
Svetlana Dmitriyevna Nikishina (-Kunysheva),Soviet Union,Volleyball,1,0,0,
Svetlana Irekovna Ishmuratova,Russia,Biathlon,2,0,1,
"Svetlana Ivanovna ""Esfir"" Dolzhenko-Krachevskaya",Soviet Union,Athletics,0,1,0,
Svetlana Kaspolatovna Tsarukayeva,Russia,Weightlifting,0,1,0,
Svetlana Khristoforovna Grozdova (-Mikhalitseva),Soviet Union,Gymnastics,1,0,0,
Svetlana Konstantinovna Kolesnichenko,Russia,Synchronized Swimming,1,0,0,
Svetlana Leonidovna Boginskaya,Soviet Union,Gymnastics,2,1,1,
Svetlana Leonidovna Boginskaya,Unified Team,Gymnastics,1,0,0,
Svetlana Mikhaylovna Badulina (-Safronova),Soviet Union,Volleyball,1,0,0,
Svetlana Mugoa-Anti,Yugoslavia,Handball,1,0,0,
Svetlana Nikolayevna Baitova,Soviet Union,Gymnastics,1,0,0,
Svetlana Nikolayevna Podobedova,Kazakhstan,Weightlifting,1,0,0,
Svetlana Olegovna Abrosimova,Russia,Basketball,0,0,1,
Svetlana Sergeyevna Boyarkina-Zhurova,Russia,Speed Skating,1,0,0,
Svetlana Stepanova Semyonova,Soviet Union,Rowing,0,0,1,
Svetlana Tirkova (-Lozovaja),Soviet Union,Fencing,2,0,0,
Svetlana Vadimovna Korytova,Soviet Union,Volleyball,1,0,0,
Svetlana Vadimovna Korytova,Unified Team,Volleyball,0,1,0,
Svetlana Valentinovna Goncharenko (Doronina-),Russia,Athletics,0,0,1,
Svetlana Valeryevna Bazhanova,Russia,Speed Skating,1,0,0,
Svetlana Vasilyevna Khorkina,Russia,Gymnastics,2,4,1,
Svetlana Viktorovna Babanina,Soviet Union,Swimming,0,0,2,
Svetlana Vladimirovna Bogdanova,Unified Team,Handball,0,0,1,
Svetlana Vladimirovna Krivelyova,Unified Team,Athletics,1,0,0,
Svetlana Vladimirovna Kuzina,Russia,Water Polo,0,0,1,
Svetlana Vladimirovna Pechorskaya (Davydova-),Unified Team,Biathlon,0,1,0,
Svetlana Vladimirovna Shkolina,Russia,Athletics,0,0,1,
Svetlana Vyacheslavovna Nageykina,Soviet Union,Cross Country Skiing,1,0,0,
Svetlana Vyacheslavovna Paramygina,Belarus,Biathlon,0,1,0,
Svetlana Yevgenyevna Feofanova,Russia,Athletics,0,1,1,
Svetlana Yuryevna Sleptsova,Russia,Biathlon,1,0,0,
Svetlana Yuryevna Vysokova,Russia,Speed Skating,0,0,1,
Svetoslav Ivanov,Bulgaria,Equestrianism,0,1,0,
Svilen Alidov Rusinov,Bulgaria,Boxing,0,0,1,
Svio Pimentel Bortolini,Brazil,Football,0,0,1,
Svitlana Ivanivna Maziy (-Pachkun),Soviet Union,Rowing,0,1,0,
Svitlana Ivanivna Maziy (-Pachkun),Ukraine,Rowing,0,1,0,
Svitlana Kostiantynivna Mankova (-Kovalchuk),Soviet Union,Handball,0,0,1,
Svitlana Valerivna Matevusheva,Ukraine,Sailing,0,1,0,
"Swintayla Marie ""Swin"" Cash",United States,Basketball,2,0,0,
Sybil Fenton Newall,Great Britain,Archery,1,0,0,
Sybil Lorina Bauer,United States,Swimming,1,0,0,
Sybille Reinhardt (Tietze-),East Germany,Rowing,1,0,0,
Sybille Schmidt,Germany,Rowing,1,0,0,
Sybille Schnrock (-Ermisch),East Germany,Swimming,0,1,0,
"Sydney Albert ""Syd"" Middleton",Australasia,Rugby,1,0,0,
Sydney Martineau,Great Britain,Fencing,0,1,0,
Sydney Rae Leroux (-Dwyer),United States,Football,1,0,0,
Syed Ghulam Moinuddin,Pakistan,Hockey,1,0,0,
Syed Hussain Shah,Pakistan,Boxing,0,0,1,
Syed Mushtaq Ali,India,Hockey,1,0,0,
Sylke Otto,Germany,Luge,2,0,0,
Sylvain Gagnon,Canada,Short Track Speed Skating,0,1,0,
Sylvain Georges Michel Curinier,France,Canoeing,0,1,0,
Sylvain Guillaume,France,Nordic Combined,0,1,1,
Sylve Boris Bengtsson,Sweden,Football,0,0,1,
Sylvi Riitta Saimo (Siki-),Finland,Canoeing,1,0,0,
Sylvia Albrecht (-Heckendorf),East Germany,Speed Skating,0,0,1,
Sylvia Cheeseman (-Disley),Great Britain,Athletics,0,0,1,
Sylvia Drdelmann (-Vedder),Germany,Rowing,0,0,1,
Sylvia Eichner,East Germany,Swimming,0,1,0,
Sylvia Eliina Ruuska,United States,Swimming,1,1,1,
Sylvia Jeanne Alice Karres,Netherlands,Hockey,0,1,0,
Sylvia Rose (Mller-),East Germany,Rowing,1,0,0,
Sylvia Shaqueria Fowles,United States,Basketball,3,0,0,
Sylviane Flix,France,Athletics,0,0,1,
Sylvie Becaert,France,Biathlon,0,1,1,
Sylvie Bernier,Canada,Diving,1,0,0,
Sylvie Daigle,Canada,Short Track Speed Skating,1,1,0,
Sylvie Frchette (-Van Strydonck),Canada,Synchronized Swimming,1,1,0,
Sylvio Kroll,East Germany,Gymnastics,0,2,0,
Sylvio Paul Cator,Haiti,Athletics,0,1,0,
Sylwia Gruchaa,Poland,Fencing,0,1,1,
Sylwia Katarzyna Bogacka,Poland,Shooting,0,1,0,
Sytske Louise de Groot,Netherlands,Rowing,0,0,1,
Szabolcs Detre,Hungary,Sailing,0,0,1,
Szilrd Kun,Hungary,Shooting,0,1,0,
Szilveszter Csollny,Hungary,Gymnastics,1,1,0,
Szilvia Szab,Hungary,Canoeing,0,3,0,
Szvetiszlv Sasics,Hungary,Modern Pentathlon,0,0,1,
Szymon Piotr Koecki,Poland,Weightlifting,0,2,0,
Szymon Zikowski,Poland,Athletics,1,0,0,
Taavi Nikolai Tamminen,Finland,Wrestling,0,1,0,
Tabar Larre Borges Gallarreta,Uruguay,Basketball,0,0,1,
Tabea Kemme,Germany,Football,1,0,0,
Taco Hajo van den Honert,Netherlands,Hockey,1,0,1,
Tadahiro Nomura,Japan,Judo,3,0,0,
Tadahito Iguchi,Japan,Baseball,0,1,0,
Tadanori Koshino,Japan,Judo,0,0,1,
Tadao Uesako,Japan,Gymnastics,0,1,1,
Tadayoshi Yokota,Japan,Volleyball,1,1,0,
Tadeusz Demboczyk,Poland,Weightlifting,0,0,1,
Tadeusz Friedrich,Poland,Fencing,0,0,2,
Tadeusz Hipolit Trojanowski,Poland,Wrestling,0,0,1,
Tadeusz Mytnik,Poland,Cycling,0,1,0,
Tadeusz Rut,Poland,Athletics,0,0,1,
Tadeusz Rutkowski,Poland,Weightlifting,0,0,2,
Tadeusz Walasek,Poland,Boxing,0,1,1,
Tadeusz lusarski,Poland,Athletics,1,1,0,
Tadija Kaar,Yugoslavia,Boxing,0,1,0,
Tae Satoya,Japan,Freestyle Skiing,1,0,1,
Taeke Wiebe Doekes Taekema,Netherlands,Hockey,0,1,0,
Taeko Ishikawa,Japan,Softball,0,1,0,
Tage Henriksen,Denmark,Rowing,1,0,0,
Tage Ivan Linde Jensen,Denmark,Football,0,0,1,
Tage Ragnar Valdemar Fahlborg,Sweden,Canoeing,0,0,1,
Tagir Kamalutdinovich Khaybulayev,Russia,Judo,1,0,0,
Taha Akgl,Turkey,Wrestling,1,0,0,
Tahir Zaman,Pakistan,Hockey,0,0,1,
Tairia Flowers,United States,Softball,1,1,0,
Taisiya Filippovna Chenchik,Soviet Union,Athletics,0,0,1,
"Taismary ""Tai"" Agero Leiva (-Botteghi)",Cuba,Volleyball,1,0,0,
Taisto Ilmari Kangasniemi,Finland,Wrestling,0,0,1,
Taisto Juhani Suutarinen,Finland,Biathlon,0,2,0,
Takafumi Nishitani,Japan,Short Track Speed Skating,1,0,0,
Takaharu Furukawa,Japan,Archery,0,1,0,
Takahiro Yamada,Japan,Gymnastics,0,0,1,
Takaji Mori,Japan,Football,0,0,1,
Takako Iida,Japan,Volleyball,1,1,0,
Takako Shirai (-Takagi),Japan,Volleyball,1,1,0,
Takanobu Jumonji,Japan,Cycling,0,0,1,
Takanobu Okabe,Japan,Ski Jumping,1,1,0,
Takanori Kono,Japan,Nordic Combined,2,1,0,
Takanori Nagase,Japan,Judo,0,0,1,
Takao Kawaguchi,Japan,Judo,1,0,0,
Takao Kuwamoto,Japan,Baseball,0,1,0,
Takao Sakurai,Japan,Boxing,1,0,0,
Takashi Chinen,Japan,Gymnastics,0,0,1,
Takashi Irie,Japan,Wrestling,0,1,0,
Takashi Ishimoto,Japan,Swimming,0,1,0,
Takashi Kobayashi,Japan,Wrestling,1,0,0,
Takashi Kurosu,Japan,Baseball,0,1,0,
Takashi Mitsukuri,Japan,Gymnastics,2,0,0,
Takashi Miwa,Japan,Baseball,0,0,1,
Takashi Ono,Japan,Gymnastics,5,4,4,
Takashi Yamamoto,Japan,Swimming,0,1,1,
Takashi Yokoyama,Japan,Swimming,1,0,0,
Takayuki Takabayashi,Japan,Baseball,0,1,0,
Takehide Nakatani,Japan,Judo,1,0,0,
Takehiro Kashima,Japan,Gymnastics,1,1,1,
Takeichi Nishi,Japan,Equestrianism,1,0,0,
Takeo Kamachi,Japan,Shooting,1,0,0,
Takeo Kawamura,Japan,Baseball,0,1,0,
Takeshi Kato,Japan,Gymnastics,1,0,1,
Takeshi Matsuda,Japan,Swimming,0,1,3,
Taku Hiraoka,Japan,Snowboarding,0,0,1,
Taku Takeuchi,Japan,Ski Jumping,0,0,1,
Takuji Hayata,Japan,Gymnastics,2,0,0,
Takuro Fujii,Japan,Swimming,0,1,1,
Takuya Haneda,Japan,Canoeing,0,0,1,
Takuya Kimura,Japan,Baseball,0,0,1,
Takuya Nakase,Japan,Gymnastics,0,1,0,
Takuya Ota,Japan,Wrestling,0,0,1,
Talant Mushanbetovich Duyshebayev,Spain,Handball,0,0,2,
Talant Mushanbetovich Duyshebayev,Unified Team,Handball,1,0,0,
Talmo Curto de Oliveira,Brazil,Volleyball,1,0,0,
"Tamara ""Tammy"" Crow (-DeClercq)",United States,Synchronized Swimming,0,0,1,
Tamara Alekseyevna Lyukhina-Zamotaylova,Soviet Union,Gymnastics,2,0,2,
Tamara Andreyevna Tyshkevich,Soviet Union,Athletics,1,0,0,
Tamara Csipes,Hungary,Canoeing,1,0,0,
Tamara Horacek,France,Handball,0,1,0,
Tamara Ivanovna Manina,Soviet Union,Gymnastics,2,3,1,
Tamara Ivanovna Tikhonova,Soviet Union,Cross Country Skiing,2,1,0,
Tamara Natanovna Press,Soviet Union,Athletics,3,1,0,
Tamara Nikolayevna Rylova,Soviet Union,Speed Skating,0,0,1,
Tamara Petrovna Tikhonina (-Kliger),Soviet Union,Volleyball,0,1,0,
Tamara Radoaj,Serbia,Basketball,0,0,1,
Tamara Stepanovna Fedosova-Pogozheva-Safonova,Soviet Union,Diving,0,1,0,
Tamara Vasilyevna Lazakovich,Soviet Union,Gymnastics,1,1,2,
Tamara Viktorovna Davydenko (-Samokhvalova),Belarus,Rowing,0,0,1,
Tamara Vladimirovna Bykova,Soviet Union,Athletics,0,0,1,
Tamari Miyashiro,United States,Volleyball,0,1,0,
Tamer Salah Ali Abdu Bayoumi,Egypt,Taekwondo,0,0,1,
Tamerlan Ruslanovich Tmenov,Russia,Judo,0,1,1,
Tami Petri Antero Kiuru,Finland,Ski Jumping,0,1,0,
Tamika Devonne Catchings,United States,Basketball,4,0,0,
Tamila Rashidovna Abasova,Russia,Cycling,0,1,0,
"Tamio ""Tommy"" Kono",United States,Weightlifting,2,1,0,
Tamirat Tola Abera,Ethiopia,Athletics,0,0,1,
Tammy Eloise Jackson,United States,Basketball,0,0,1,
Tammy June Webb-Liley,United States,Volleyball,0,0,1,
Tammy Kelly Miller,Great Britain,Hockey,0,0,1,
Tammy Lee Shewchuk (-Dryden),Canada,Ice Hockey,1,0,0,
Tammy P. Cleland-McGregor,United States,Synchronized Swimming,1,0,0,
Tamra Dauniene (Kaagina-),Soviet Union,Basketball,1,0,0,
Tams Buday,Hungary,Canoeing,0,0,2,
Tams Darnyi,Hungary,Swimming,4,0,0,
Tams Farag,Hungary,Water Polo,1,1,1,
Tams Gbor,Hungary,Fencing,1,0,0,
Tams Kancsal,Hungary,Modern Pentathlon,0,0,1,
Tams Kenderesi,Hungary,Swimming,0,0,1,
Tams Kiss,Hungary,Canoeing,0,0,1,
Tams Kovcs,Hungary,Fencing,0,0,2,
Tams Kss,Hungary,Water Polo,3,0,0,
Tams Kulifai,Hungary,Canoeing,0,1,0,
Tams Lrincz,Hungary,Wrestling,0,1,0,
Tams Mendelnyi,Hungary,Fencing,1,0,0,
Tams Molnr,Hungary,Water Polo,3,0,0,
Tams Mrcz,Hungary,Water Polo,1,0,0,
Tams Szombathelyi,Hungary,Modern Pentathlon,0,2,0,
Tams Varga,Hungary,Water Polo,2,0,0,
Tams Wichmann,Hungary,Canoeing,0,2,1,
Tamsin Cook,Australia,Swimming,0,1,0,
Tan Jiaxin,China,Gymnastics,0,0,1,
Tan Liangde,China,Diving,0,3,0,
Tan Miao,China,Swimming,0,1,0,
Tan Wee Kiong,Malaysia,Badminton,0,1,0,
Tan Xue,China,Fencing,0,2,0,
Tan Ya-Ting,Chinese Taipei,Archery,0,0,1,
Tan Zongliang,China,Shooting,0,1,0,
